,sentiment,clean_review_sentence
638,0,somewhere equation get messed film weaken final effect
639,0,although seen speaking flat manner
640,0,unable make mark
641,1,eye prank screen
642,0,seems day ram gopal varma factory going well
643,0,film climax bit disappointing
644,1,usual line create humor sarcasm style pierce laughter
645,1, kajol important contribution film
646,1,ल खक द न क ब च चल रह म इ ड ग म क अच छ तरह उक र ह 
647,0,director made full use potential right
648,1,meeting shahrukh khan like touching live wire
649,0,manish paul try best character
650,1,child actor hetal gadda krish chhabdia done excellent work dhanak 
651,0,shortage content
652,1,ramu let pace story stop
653,1,ashutosh gowarikers specialty think big
654,1,directed saket chaudhary hindi medium essential film
655,1,vipin sharma draw emotional gesture helpless uncle
656,0,overall lucknow central great film seen
657,1,music director maintained melody tone music
658,1,tremendous visuals
659,1,film grace mark
660,0,govinda also pay attention serious role leaving comedy tusshar find difficult cope
661,1,ramu something every time dominated medium
662,1,scene film also laugh
663,1,director vishals first film let story disintegrate despite fewer character
664,0,frustrating see screen
665,0,character lack depth performance
666,1,enhanced impact film expression
667,1,hard work kk menon sunil shetty seen
668,1,song music film sound style music sixthseventh decade would enjoyable
669,0,soulless expression come face artist film become ineffective
670,1,fear face fear fear specialty film
671,0,cinematography better film would become visible
672,0,character since embroiled
673,1, बच च क य फ़ ल म जर र पस द आएग और स थ ह स थ एक म स ज भ प र मजब त क स थ फ़ ल म द त ह 
674,1,akshay kumars thoughtless carefree style enchants
675,0,suhail khan jackie disappointed
676,1,shreyas worked hard make role effective
677,1, इस फ ल म म क ज ल क जर र य गद न ह 
678,0,director krishna dk raj film gentleman average commercial film
679,0,pace rhythm lacking film graph film grow
680,1,rajkumar gupta praise kept suspense story till opening
681,1,cinematographer ravi burman take beauty film many step
682,0,two word story film based stereotyped script
683,1,together presented thinking thinking pawan kripalani great way
684,0,film weakens despite good intention
685,1,adorned powerful script direction hearttouching story present message saving environment coming generation
686,0,song music film weak
687,1,anurag kashyap retains signature kissagoi
688,0,film irrational
689,1,public given befitting reply giving immense support
690,1,every artist impressed performance front
691,1,interesting us film quality story
692,1,beautiful movie
693,0,people liking film much
694,1,pritams music strong
695,1,cleverly turned story film coach bookie
696,1,abhishek chaubeys debut film ishqiya entertaining film
697,1,jannats musician pritam got password choice youth
698,1,newton honest film away plastic film
699,0,interval name individual involvement grow fast audience along raghu also find difficult keep track
700,0,sequence view broken
701,1,played character dedication energy
702,1,actor character till end
703,1,ankur naturalness openness like nasiruddin shah
704,0,despite competent artist problem writing
705,1,diljit dosanjh added life portrayal
706,1,shreyas bind film actor
707,1,म ल ख क चर त र म हम र र च बन रहत ह 
708,0,look like character unable connect
709,1,जन नत क प र नई ट म व कई त र फ क क ब ल ह 
710,1,shubh mangal savdhan completely entertaining responsible film
711,0,वह अगर इस फ ल म क द ख ज ए त लगत ह ज स ड यर क टर न इस सब ज क ट क मज क उड य ह 
712,1,manoj bajpayee biranchi introduces new aspect talent
713,1,two person woman durga rani singh vidya sinha understood livened effectively
714,1,स न ल दर शन न लकदक ल क शन क बख ब क मर म क प चर क य ह 
715,1,mithun chakraborty puru raj kumar impress role
716,1,zarina wahab appeared screen long time despite small role
717,1,rustom effective period film
718,1,rasoon joshi made film division film beautifully effectively
719,1,work role devaki dk commendable
720,0,technically weak film
721,1,dialogue payment casual style appeal audience
722,0,result hard work le effect
723,1,background music important horror film also succeeds
724,1,nawaz touched new dimension role military
725,0,इ द र क म र क ग र ड मस त कह स भ ग र ड नह ह प ई ह 
726,0,seems added despite essential original story mood noble
727,1,also added strong storyline make interesting
728,0,movie like baar baar dekho often take old way telling something new
729,0, फ ल म च र ख न च त त ह ज त ह 
730,1,remained milkha singh beginning end
731,1,song film amitabh bhattacharya capturing emotion film well
732,0,scene seem confused emotion
733,0,niranjan able put iyengar expression word
734,1,film say message
735,0,writer director sometimes roam street romance politics mirza juliet
736,1,despite thing style heroine fight remembered 
737,1,उनक सह ट इम ग और क म कल अप र च स फ ल म कह कह इटर स ट ग ह ज त ह
738,1,song movie definitely karnapriya
739,0,film music simple
740,1,response dialogue delivery amitabh
741,0,scene mannerism seen normal film
742,1,ग भ र शख स क भ म क म व सहज लगत ह 
743,1,multiplex viewer also enjoy
744,1,प रस न ज श न फ ल शब क और फ र उसम फ ल शब क क श ल प स कह न क र चक आय म द ए ह 
745,0,name appeared big
746,0,also ineffective
747,1,producer sujoy ghosh gave ribhu dasgupta courage consent walk aside write
748,0,scene lead actor kareena arjun could jugalbandi
749,0,question remain film without answer
750,1,drama action level enhanced
751,0,overall setback expectation fan cine sport world
752,1,doubt chandan roy sanyal great actor
753,1,one aspect film film brought baghban line successful film
754,0,half girlfriend logic bypassed plethora coincidence
755,1,उन ह न सभ क रद र और उन ह न भ रह कल क र क अपन तरह स ख लन क म क द य ह यह इस फ ल म क ख बस रत ह 
756,1,played character marathi manush well
757,0,lack proper information psychiatric disease
758,1,youth wavering vague attitude towards love romance well portrayed film
759,0,show many dimension acting
760,0,पटकथ क ब खर व स फ ल म क र म च भ कम ह त ह 
761,0,resulting flat expression camera dialogue payment captured camera
762,1,adil hussain beautifully expressed rajivs helplessness helplessness
763,0,hard work story screenplay
764,0,script film weak poor dialogue delivery film weak side
765,1,imran khan hard work seems successful scene
766,0, यह अपन उद द श य पर ह खर नह उतरत 
767,0,better use camera latest technology put story different category c class horror film
768,1, ब ए प स स म ज क ज वन म व मर श क अन क पहल ओ क छ त ह ई न कल ज त ह 
769,1,excluding logic thought film interesting film
770,1,despite limitation script nawaz make film interesting talent
771,1,everyones performance tremendous
772,0, इसस फ ल म लचर ह न क क रण द खन ल यक भ नह रह गई
773,0,power song music
774,0, क ल म ल कर नश एक औसत फ ल म ह ज ब ल व ड क स ल स चल आ रह ब स और सड़ च क द हग थ क एक कदम आग बढ न क क म करत ह 
775,0,horror shown screen survive theater
776,0,whose mind
777,0,problem director also leaf request certain amount time
778,1,catch character ultimately warms viewer aesthetic sense
779,0,प क स त न वक ल क भ म क म दर शन क म र न र श करत ह 
780,1,serious issue prasanna made interesting film healthy comedy treatment
781,1,anees bazmee done responsibility well film mubarakan
782,0,look overbearing emraan anants previous hero
783,0,intelligence acting character stereotyped good actor also bore
784,1,akshay kumars film jolly llb 2 eagerly awaiting audience
785,0,interval nothing scare audience audience seen laughing instead scared
786,1, त न नई तरह क फ ल म ह र चक प रय ग ह 
787,0,अगर वह अपन वजन थ ड कम कर ल त त एक क ल ज स ट ड ट य उसक आसप स क उनक क रद र थ ड़ कन व न श ग लगत 
788,0,cycle giving space character flow film relaxed interrupted
789,0,भ ष क अश द ध य खटकत ह 
790,1,vidya also done acting
791,0,despite influence regionalism talent artist like arshad warsi baman irani lost due loose scripting
792,1,anushka sharma lead character cast
793,0,naked truth misuse strong column democracy
794,0,portrayal false
795,0,could connect audience hasina parkar
796,0,hand film based oriya background current spice pull audience towards theater
797,0,lack theme scene get detail depth
